Codigo;Descricao;Unidade
275075;ABRAÇ,PLÁST,1.1X3.6X150MM,PM-BR761.01;PEÇ
275076;CONEC.CUN,ESTRIBO,C16-35,A4,SP35,D71071;UN
275077;CONEC,CUN,AL,I8,D=21.77-25.68MM,D71054;PEÇ
275078;CONECTOR,CUN,BIM,MOD.UNIF,D71039;PEÇ
275079;CONECTERMCOMPMED,CB16MM²,PM2092I5R8;PEÇ
275082;CONEC,CUN,AL,I2,D=14.81-18,39MM,D71054;PEÇ
275083;CONEC,CUN,AL,I1,D=13.08-16.66MM,D71054;PEÇ
275084;CONEC,CUN,AL,I3,D=15.77-20.22MM,D71054;PEÇ
275089;CONECTDERIVCOMPRCONDCUPM-2202I1,FP;PEÇ
275101;CARTUCHO,METALICO,AZUL,PM-BR710.67;PEÇ
275102;CARTUCHO,METALICO,VERMELHA,PM-BR710.67;PEÇ
275104;CONEC,TERM,COMPR,AL,35MM2,1F,D71038;PEÇ
275105;CONEC,TERM,COMPR,AL,70MM2,2F,D71038;PEÇ
275139;CONEC,TERM,COMPR,AL,160MM2,2F,D71038;PEÇ
275158;CONECTORTERM,CONDAL50MM,PM2251I2R0;PEÇ
275169;CONECTORCUNHA70,00MM2/6,50MM;UN
275175;LUVA,EME,COMP,AL,556,5AWG,PM-Br720.15;PEÇ
275202;CONEC,CUN,AL,I12,D=32.50-37.00MM,D71054;PEÇ
275274;CONECTOR,TERM,PINO,1X35-185,M16,D71060;UN
275282;CONEC,TERM,TORQ,BIM,35-185MM2,1F,D71063;UN
275356;CONEC.CUN,ESTRIBO,A4/0,SP150,D71071;UN
275364;CONEC,CUN,AL,I6,D=28.70-24,28MM,D71054;PEÇ
275676;CONECTOR,PERFURACAOPOLIMERIC,RD;PEÇ
275694;CONEC,PERF,AL-CU,16-95TR,4-35DR,GSCC020;PEÇ
275722;LUVA.EMENDA.COMPRES.2AWGCAA.D72016;PEÇ
276661;CONEC,PERF,AL-CU,35-150TR/DR,GSCC020;;PEÇ
276662;CONECPERF,AL-CU,50-150TR,6-54,6DR,GSCC20;PEÇ
276672;CONEC,PERF,AL-CU,16-150TR,1,5-6DR,GSCC20;PEÇ
300032;ISOLADOR,POST,PIN.CURT,17,5kV,GSCC010/16;CDA
300583;ISOLADOR,VIDRO,ZN,D=254,PS146,D50031,FP;PEÇ
300644;ISOLADORPOLIPILAR,FUGPRO,24kV,GSCC010;UN
300647;ISOLADOR,ROLDANA,PORC,79X76,D500.54.0;UN
300653;ISOLADOR,PINOPORCELANA,PM006;PEÇ
300662;ISOLADORPOLIMPILARHIBR,24kV,GSCC010;UN
300670;ISOLADOR,PINO,POLIM,35KV,35MM;D500.22.0;PEÇ
300685;ISOLADOR,PINO,HI-TOPPORCELANA15(SUC);PEÇ
300699;ISOLPINPOLIM15KVLINHAFUGAPROTEGIDA;PEÇ
300714;ISOLADORPOLIPILAR,FUGPRO,36kV,GSCC010;PEÇ
300853;ISOLADORPOLIMANCORAGEM,24kV,GSCC010;PEÇ
310434;CONDLIGAALNUENGRAXAAAC50MM-GSC-003;KG
310522;CABO,ELÉTRICOCONTROLECU19FIOS2X4MM;PEÇ
310536;CABO,NU,CAA,CL.B,4/0AWG,PENGUIN,GSC003;PEÇ
310552;CABO,ACO-CU,ATERR,35MM²,D805.02;KG
310567;CABOCOBRENU35MM2MDURACL2A;KG
310571;CABO,ACO-CU,ATERR,16MM²,D805.02;KG
310600;CABOALCA336,4MCMPM-0057I3R8,FP;KG
310604;CABO,NU,CAA,CL.A,4AWG,SWAN,GSC003;KG
310605;CABO,NU,CAA,CL.A,1/0AWG,RAVEN,GSC003;KG
310633;CONDLIGAALNUENGRAXAAAC70MM-GSC-003;KG
310636;CONDLIGAALNUENGRAXAAAC25MM-GSC-003;PEÇ
310772;CABO,AL,NU,T-CAA,Z,426,3MCM,PMA211.04.3;PEÇ
310775;CORDOALHA,ACO,ZINC,A,6,4MM,7F,MR,D212.03;PEÇ
310778;CORDOALHA,ACO,ZINC,A,9,5MM,7F,MR,D212.03;KG
310869;SEC,UNIPOLAR,34.5KV,630A,720MM,D198.03;PEÇ
330325;CABO,CONCENTR,0.6/1.0,1x10+10A,D230.10;M
330767;FIO,ALP/AMARRACAO4AWG-D76001;KG
330768;FIOALP/AMARRACAO6AWG-D76001;KG
330770;FIOALCOBERTO;AMARRACAO4AWG;D76003;M
330787;CBPRE-REUCU3X35+35,XLPE,1kV,D208.15;M
330868;CABO,COBERTO,50MM,15KV,XLPE+HDPE,GSCC021;M
330869;CABO,COBERTO,185MM,15KVXLPE+HDPE,GSCC021;M
330871;CABO,COBERTO,50MM,25KV,XLPE+HDPE,GSCC021;PEÇ
330899;CABOPRE-REUNAL,3X50+50MM²-SUCATA;M
330984;CABOBTPRE-REUNAL3X95+54.6,GSCC009/12;M
330990;CABOBTPRE-REUNAL3X150+80,GSCC009/013;M
330992;CABO,AL,PR-REU,8.7/15KV,3x150+50,GSCC008;PEÇ
330993;CABOBTPRE-REUNAL3X35+54.6,GSCC009/09;M
330994;CABOBTPRE-REUNAL3X50+54.6,GSCC009/10;M
400044;CINTAPOSTECIRC.AL230MMPM-1257I9R3;PEÇ
400046;CINTAPOSTECIRC.AL270MM-FP;PEÇ
500107;REG,TEN,1F,7,96KV,210A,167KVA,FP;PEÇ
510837;RGDATA70FAULTDETECTORMV-OTYPE-1;PEÇ
531277;TRANSFORMADORNUCLEOPARTI800/5ACI0,5S;PEÇ
531388;SUPOR,TRAFO,POSTECIRC,210MM,TP1,D421.01;PEÇ
531389;SUPOR,TRAFO,POSTECIRC,255MM,TP1,D421.01;PEÇ
531577;TP,11,4/13,5KV-230VEXT.D115.01.0;PEÇ
600541;CINTA,AMARRACAOCARGA,C/CATRAC50MMX54T;PEÇ
